"","ppt_id","Motives.Feeling","Motives.Exciting","Motives.High","Motives.Fun","Motives.Good","PGSI.Afford","PGSI.Excitement","PGSI.WinBack","PGSI.Borrowed","PGSI.Problem","PGSI.Health","PGSI.Criticised","PGSI.Financial","PGSI.Guilty"
"1","P0172","Never","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"2","P0688","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"3","P0739","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","MostTime","Never","Never","Never","Never","Never","Never"
"4","P0428","Often","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes","Never","Sometimes"
"5","P1502","Often","Always","Often","Often","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"6","P1566","Often","Often","Often","Often","Often","Sometimes","Sometimes","MostTime","Never","MostTime","Never","Never","Never","Sometimes"
"7","P0873","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"8","P1408","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"9","P1686","Always","Always","Always","Always","Often","Always","Always","Always","Always","MostTime","MostTime","Never","Sometimes","MostTime"
"10","P1085","Sometimes","Often","Sometimes","Always","Never","Never","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"11","P0339","Always","Always","Always","Always","Always","Always","MostTime","Sometimes","Sometimes","MostTime","Sometimes","Sometimes","Never","Sometimes"
"12","P1789","Sometimes","Often","Never","Sometimes","Never","Never","Never","MostTime","Never","Sometimes","Never","Never","Never","Sometimes"
"13","P1209","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Sometimes"
"14","P1292","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"15","P0175","Often","Always","Often","Often","Sometimes","MostTime","Never","MostTime","Sometimes","MostTime","Sometimes","Sometimes","Sometimes","Always"
"16","P0814","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"17","P0896","Sometimes","Often","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"18","P0605","Never","Sometimes","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"19","P1549","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"20","P1271","Sometimes","Often","Sometimes","Always","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"21","P1210","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"22","P1738","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never"
"23","P0945","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"24","P1687","Sometimes","Always","Sometimes","Sometimes","Often","Never","Never","Never","Never","Sometimes","Sometimes","Never","Never","MostTime"
"25","P0568","Sometimes","Always","Always","Always","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"26","P1327","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"27","P0091","Often","Always","Always","Always","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"28","P1674","Sometimes","Always","Often","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"29","P0269","Sometimes","Often","Never","Often","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"30","P1380","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","MostTime","Never","Never","Never","Never","Never","Never"
"31","P1373","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"32","P0915","Always","Always","Always","Often","Sometimes","MostTime","Always","Always","Never","Always","Always","Always","MostTime","Always"
"33","P0501","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"34","P0270","Sometimes","Always","Always","Often","Often","Sometimes","Sometimes","MostTime","MostTime","Sometimes","Sometimes","Sometimes","Sometimes","MostTime"
"35","P0525","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Never","Sometimes","Never","Never","Never"
"36","P0590","Often","Often","Often","Often","Often","MostTime","MostTime","MostTime","MostTime","MostTime","Sometimes","Sometimes","MostTime","MostTime"
"37","P1045","Sometimes","Often","Often","Often","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","MostTime"
"38","P1484","Sometimes","Sometimes","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"39","P0949","Sometimes","Sometimes","Sometimes","Always","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"40","P0252","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"41","P0867","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"42","P0088","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"43","P1569","Often","Often","Often","Often","Often","Always","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"44","P1099","Sometimes","Often","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"45","P1018","Sometimes","Always","Always","Always","Sometimes","MostTime","Always","Always","MostTime","Always","Always","Always","Sometimes","Always"
"46","P0364","Sometimes","Always","Often","Often","Often","Never","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"47","P0169","Often","Often","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never"
"48","P1753","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"49","P0869","Always","Always","Always","Often","Sometimes","MostTime","Always","Always","MostTime","Always","Sometimes","Sometimes","MostTime","MostTime"
"50","P1050","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"51","P1525","Often","Always","Always","Often","Often","Never","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"52","P1649","Sometimes","Often","Never","Always","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"53","P0670","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"54","P0848","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"55","P1603","Often","Sometimes","Sometimes","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"56","P0629","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"57","P1253","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"58","P0380","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"59","P0202","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"60","P1522","Sometimes","Sometimes","Often","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"61","P0371","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"62","P0940","Often","Always","Always","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"63","P0847","Often","Often","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"64","P0834","Sometimes","Often","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"65","P0071","Sometimes","Sometimes","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"66","P0173","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"67","P1272","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"68","P0970","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"69","P0996","Never","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"70","P1608","Sometimes","Often","Never","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"71","P0349","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"72","P1803","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"73","P1626","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"74","P1592","Sometimes","Sometimes","Never","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Never"
"75","P0908","Often","Often","Never","Always","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"76","P0297","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"77","P0316","Sometimes","Often","Often","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"78","P1647","Sometimes","Sometimes","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"79","P0177","Sometimes","Often","Never","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"80","P0608","Always","Always","Often","Always","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Sometimes","Never","Sometimes"
"81","P0564","Never","Sometimes","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"82","P1593","Often","Always","Often","Always","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"83","P1256","Sometimes","Often","Often","Often","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","MostTime"
"84","P1577","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"85","P0864","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"86","P1153","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"87","P0794","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"88","P0957","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes"
"89","P1458","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"90","P1400","Often","Always","Often","Always","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"91","P1354","Always","Always","Always","Always","Always","Never","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes"
"92","P1734","Often","Sometimes","Never","Often","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"93","P0301","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
