"","ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"1","P0428",1,"15:32:07",3,-0.5,0,2.5,3.35,12,5
"2","P0428",2,"15:32:28",2.5,-0.5,0.9,2.9,2.99,14,5
"3","P0428",3,"15:32:46",2.9,-0.5,0.9,3.3,2.99,14,5
"4","P0428",4,"15:33:07",3.3,-0.5,0,2.8,2.99,14,5
"5","P0428",5,"15:33:41",2.8,-0.5,0,2.3,2.99,14,5
"6","P0172",1,"15:33:58",3,-0.7,0,2.3,3.5,13,2
"7","P0428",6,"15:33:59",2.3,-0.5,0,1.8,2.99,14,5
"8","P0428",7,"15:34:17",1.8,-0.5,0.9,2.2,2.99,14,5
"9","P0428",8,"15:34:37",2.2,-0.5,0,1.7,2.99,14,5
"10","P0428",9,"15:34:55",1.7,-0.5,0,1.2,2.99,14,5
"11","P0428",10,"15:35:19",1.2,-0.5,0.9,1.6,3.89,12,5
"12","P0428",11,"15:35:54",1.6,-0.6,1.8,2.8,2.28,16,6
"13","P0428",12,"15:36:15",2.8,-0.6,0,2.2,2.53,14,6
"14","P0428",13,"15:36:48",2.2,-0.5,0,1.7,2.99,14,5
"15","P0739",1,"15:37:07",3,-1,3,5,2.03,12,1
"16","P0428",14,"15:37:35",1.7,-0.7,0,1,1.78,18,7
"17","P0428",15,"15:38:01",1,-1,0,0,0.83,26,10
"18","P1566",1,"15:39:41",3,-0.8,0,2.2,4.09,9,8
"19","P1566",2,"15:40:09",2.2,-0.9,1.8,3.1,3.14,14,9
"20","P1566",3,"15:40:39",3.1,-1,0,2.1,4.61,10,10
"21","P1566",4,"15:41:10",2.1,-1,1.8,2.9,3.98,10,10
"22","P1566",5,"15:41:34",2.9,-1,0,1.9,5.33,7,10
"23","P1502",1,"15:41:36",3,-0.5,1,3.5,1.03,18,1
"24","P1566",6,"15:42:06",1.9,-0.7,0,1.2,4.17,10,7
"25","P1566",7,"15:42:33",1.2,-0.8,4.5,4.9,3.39,11,8
"26","P1566",8,"15:43:03",4.9,-1,0,3.9,6.23,8,10
"27","P1566",9,"15:43:25",3.9,-0.8,3.6,6.7,2.82,12,8
"28","P1566",10,"15:43:50",6.7,-1,0,5.7,4.25,9,10
"29","P1566",11,"15:44:18",5.7,-1,0,4.7,3.89,10,10
"30","P1566",12,"15:44:41",4.7,-0.8,0,3.9,5.21,7,8
"31","P1566",13,"15:45:20",3.9,-1,0,2.9,4.07,8,10
"32","P1566",14,"15:45:50",2.9,-0.9,0,2,3.69,9,9
"33","P1566",15,"15:46:17",2,-1,0,1,2.9,14,10
"34","P1566",16,"15:46:42",1,-0.6,0,0.4,4.03,8,6
"35","P1566",17,"15:47:02",0.4,-0.4,0,0,1.84,14,4
"36","P1686",1,"15:59:09",3,-0.8,1,3.2,0.09,36,4
"37","P1686",2,"15:59:42",3.2,-1,0,2.2,5.78,6,2
"38","P1408",1,"16:00:00",3,-0.1,0,2.9,1.03,18,1
"39","P1686",3,"16:00:05",2.2,-1,3,4.2,2.03,12,1
"40","P1686",4,"16:00:26",4.2,-1,0,3.2,2.03,12,1
"41","P1085",1,"16:00:22",3,-1,0,2,1.03,18,1
"42","P1408",2,"16:00:30",2.9,-0.4,0,2.5,4.92,26,4
"43","P1686",5,"16:00:38",3.2,-1,0,2.2,1.03,18,1
"44","P1085",2,"16:00:39",2,-0.5,0,1.5,1.03,18,1
"45","P1686",6,"16:00:50",2.2,-1,0,1.2,1.03,18,1
"46","P1085",3,"16:00:49",1.5,-0.5,1,2,1.03,18,1
"47","P1686",7,"16:01:02",1.2,-1,0,0.2,1.03,18,1
"48","P1085",4,"16:01:04",2,-1,2,3,1.03,18,1
"49","P1686",8,"16:01:16",0.2,-0.2,0,0,1.03,18,1
"50","P1085",5,"16:01:16",3,-1,2,4,1.03,18,1
"51","P1085",6,"16:01:35",4,-1,2,5,1.03,18,1
"52","P1292",1,"16:03:05",3,-0.5,1.5,4,2.03,12,1
"53","P0339",1,"16:03:27",3,-0.6,0,2.4,2.11,13,2
"54","P1292",2,"16:03:34",4,-1,1,4,0.47,28,2
"55","P0339",2,"16:03:48",2.4,-0.6,0,1.8,2.11,13,2
"56","P1292",3,"16:03:51",4,-1,0,3,0.47,28,2
"57","P1292",4,"16:04:08",3,-1,1,3,0.47,28,2
"58","P0339",3,"16:04:10",1.8,-0.6,0,1.2,2.11,13,2
"59","P1292",5,"16:04:22",3,-1,1,3,0.47,28,2
"60","P0339",4,"16:04:34",1.2,-1,3,3.2,2.03,12,2
"61","P1292",6,"16:04:38",3,-1,0,2,0.58,26,2
"62","P1292",7,"16:04:51",2,-1,1,2,0.58,26,2
"63","P0339",5,"16:05:04",3.2,-0.2,3.6,6.6,8.53,19,2
"64","P1292",8,"16:05:07",2,-0.5,0,1.5,1.03,18,1
"65","P1292",9,"16:05:21",1.5,-1,1,1.5,0.58,26,2
"66","P1789",1,"11:05:03",3,-1,1,3,0.78,24,2
"67","P0339",6,"16:05:30",6.6,-0.6,0,6,2.11,13,2
"68","P1789",2,"11:05:17",3,-1,2,4,1.03,18,2
"69","P1292",10,"16:05:39",1.5,-1,1,1.5,0.58,26,2
"70","P1789",3,"11:05:30",4,-0.5,1,4.5,1.03,18,1
"71","P1292",11,"16:05:54",1.5,-1,1,1.5,0.58,26,2
"72","P1292",12,"16:06:07",1.5,-1,2,2.5,0.58,26,2
"73","P1789",4,"11:05:51",4.5,-0.5,0,4,2.03,12,1
"74","P1292",13,"16:06:19",2.5,-1,0,1.5,0.58,26,2
"75","P1292",14,"16:06:31",1.5,-1,1,1.5,0.58,26,2
"76","P1292",15,"16:06:43",1.5,-1,0,0.5,0.58,26,2
"77","P1292",16,"16:07:04",0.5,-0.5,1,1,1.03,18,1
"78","P1292",17,"16:07:15",1,-0.5,1,1.5,1.03,18,1
"79","P1209",1,"16:07:25",3,-0.5,0,2.5,1.03,18,5
"80","P1292",18,"16:07:25",1.5,-0.5,0,1,1.03,18,1
"81","P1292",19,"16:07:37",1,-0.5,0,0.5,1.03,18,1
"82","P1292",20,"16:07:47",0.5,-0.5,0,0,1.03,18,1
"83","P0175",1,"16:08:36",3,-0.2,0.4,3.2,1.03,18,1
"84","P0175",2,"16:08:47",3.2,-0.2,0.4,3.4,1.03,18,1
"85","P0175",3,"16:08:57",3.4,-0.2,0,3.2,1.03,18,1
"86","P0175",4,"16:09:08",3.2,-0.4,0.8,3.6,1.03,18,2
"87","P0175",5,"16:09:19",3.6,-0.2,0,3.4,1.03,18,1
"88","P0175",6,"16:09:29",3.4,-0.4,0.8,3.8,1.03,18,2
"89","P0175",7,"16:09:47",3.8,-0.2,0.4,4,1.03,18,1
"90","P0175",8,"16:10:01",4,-0.2,0,3.8,1.03,18,1
"91","P0175",9,"16:10:11",3.8,-0.4,0.8,4.2,1.03,18,2
"92","P0175",10,"16:10:25",4.2,-1,2,5.2,1.03,18,5
"93","P0175",11,"16:10:50",5.2,-1,2,6.2,1.03,18,1
"94","P0175",12,"16:11:13",6.2,-0.2,0,6,35.03,1,1
"95","P0175",13,"16:11:23",6,-0.2,0,5.8,35.03,1,1
"96","P0175",14,"16:11:33",5.8,-0.2,0,5.6,35.03,1,1
"97","P0175",15,"16:11:43",5.6,-0.2,0,5.4,35.03,1,1
"98","P0175",16,"16:12:10",5.4,-1,1.6,6,1.75,19,5
"99","P0896",1,"16:12:45",3,-0.1,0,2.9,1.03,18,1
"100","P0175",17,"16:12:46",6,-1,0,5,1.03,18,1
"101","P0896",2,"16:12:58",2.9,-0.2,0,2.7,1.03,18,2
"102","P0896",3,"16:13:11",2.7,-0.4,0,2.3,1.03,18,4
"103","P0896",4,"16:13:28",2.3,-0.8,1.6,3.1,1.03,18,8
"104","P1271",1,"16:15:49",3,-0.3,0.6,3.3,5.69,12,2
"105","P0605",1,"16:16:35",3,-0.5,0,2.5,2.03,12,1
"106","P1271",2,"16:16:36",3.3,-0.2,0.3,3.4,8.78,13,2
"107","P0605",2,"16:16:48",2.5,-0.5,0,2,2.03,12,1
"108","P1271",3,"16:16:50",3.4,-0.1,0,3.3,2.03,12,1
"109","P1549",1,"16:17:00",3,-0.5,1,3.5,1.03,18,1
"110","P1549",2,"16:17:15",3.5,-0.5,1,4,1.03,18,1
"111","P1271",4,"16:18:31",3.3,-0.3,0,3,4.36,13,2
"112","P1738",1,"16:21:27",3,-0.2,0,2.8,3.53,9,2
"113","P1738",2,"16:21:37",2.8,-0.2,0.4,3,1.03,18,2
"114","P1210",1,"16:21:37",3,-1,0,2,1.03,18,1
"115","P1738",3,"16:21:55",3,-0.4,0,2.6,1.03,18,4
"116","P1738",4,"16:22:07",2.6,-0.6,1.2,3.2,1.03,18,6
"117","P1738",5,"16:22:24",3.2,-0.2,0,3,0.53,24,2
"118","P1738",6,"16:22:55",3,-0.4,0,2.6,0.94,26,4
"119","P1738",7,"16:23:15",2.6,-0.7,0,1.9,0.86,24,7
"120","P1738",8,"16:23:38",1.9,-1,2,2.9,1.03,18,10
"121","P1687",1,"16:23:40",3,-1,0,2,2.18,17,10
"122","P1738",9,"16:23:58",2.9,-1,0,1.9,1.03,18,10
"123","P1687",2,"16:24:10",2,-1,0.9,1.9,1.05,27,10
"124","P1738",10,"16:24:11",1.9,-0.9,0,1,5.03,6,9
"125","P1687",3,"16:24:59",1.9,-0.9,0,1,0.67,30,9
"126","P1687",4,"16:25:12",1,-1,0,0,1.03,18,1
"127","P0945",1,"16:25:18",3,-0.5,1,3.5,1.03,18,1
"128","P1380",1,"16:26:33",3,-0.4,0.4,3,0.03,36,2
"129","P1380",2,"16:26:49",3,-1,2,4,1.03,18,2
"130","P1380",3,"16:27:01",4,-0.5,1,4.5,1.03,18,1
"131","P1380",4,"16:27:20",4.5,-1,2,5.5,1.03,18,2
"132","P0568",1,"16:27:33",3,-0.9,0,2.1,13.69,3,3
"133","P1380",5,"16:27:35",5.5,-0.5,0,5,1.03,18,1
"134","P1380",6,"16:27:49",5,-0.5,0,4.5,1.03,18,1
"135","P1380",7,"16:28:02",4.5,-0.4,0.4,4.5,0.03,36,2
"136","P1380",8,"16:28:49",4.5,-1,0,3.5,1.03,18,1
"137","P1380",9,"16:29:00",3.5,-0.5,0,3,1.03,18,1
"138","P1380",10,"16:29:12",3,-0.5,0,2.5,1.03,18,1
"139","P1380",11,"16:29:26",2.5,-0.4,0.8,2.9,1.03,18,2
"140","P1380",12,"16:29:45",2.9,-0.9,0,2,1.03,18,5
"141","P1380",13,"16:29:59",2,-1,2,3,1.03,18,10
"142","P0269",1,"16:30:18",3,-0.9,0,2.1,2.62,13,3
"143","P1380",14,"16:30:21",3,-0.5,0,2.5,1.03,18,1
"144","P1380",15,"16:30:32",2.5,-0.5,1,3,1.03,18,1
"145","P0269",2,"16:30:35",2.1,-0.6,0,1.5,11.03,3,3
"146","P0091",1,"16:30:42",3,-1,0,2,1.03,18,1
"147","P1380",16,"16:30:48",3,-0.5,1,3.5,1.03,18,1
"148","P1327",1,"16:30:47",3,-1,0,2,11.27,3,6
"149","P1674",1,"16:30:52",3,-0.1,0.2,3.1,1.03,18,1
"150","P0091",2,"16:30:56",2,-1,0,1,1.03,18,1
"151","P1380",17,"16:30:58",3.5,-0.5,1,4,1.03,18,1
"152","P0269",3,"16:30:57",1.5,-0.8,0.4,1.1,5.9,21,4
"153","P1674",2,"16:31:05",3.1,-1,2,4.1,1.03,18,1
"154","P0091",3,"16:31:06",1,-1,2,2,1.03,18,1
"155","P1380",18,"16:31:12",4,-0.5,0,3.5,1.03,18,1
"156","P0269",4,"16:31:10",1.1,-0.8,0.4,0.7,5.9,21,4
"157","P1674",3,"16:31:19",4.1,-1,0,3.1,1.03,18,1
"158","P1674",4,"16:31:30",3.1,-1,0,2.1,1.03,18,1
"159","P1380",19,"16:31:39",3.5,-0.5,1,4,1.03,18,1
"160","P1674",5,"16:31:42",2.1,-1,2,3.1,1.03,18,1
"161","P1380",20,"16:31:53",4,-0.5,1,4.5,1.03,18,1
"162","P1674",6,"16:31:58",3.1,-1,0,2.1,1.03,18,1
"163","P1380",21,"16:32:05",4.5,-0.5,0,4,1.03,18,1
"164","P1674",7,"16:32:09",2.1,-1,2,3.1,1.03,18,1
"165","P1674",8,"16:32:20",3.1,-1,0,2.1,1.03,18,1
"166","P1380",22,"16:32:23",4,-0.2,0.4,4.2,1.03,18,1
"167","P1674",9,"16:32:29",2.1,-1,0,1.1,1.03,18,1
"168","P1674",10,"16:32:39",1.1,-1,0,0.1,1.03,18,1
"169","P0269",5,"16:32:45",0.7,-0.6,7.2,7.3,7.25,20,3
"170","P1674",11,"16:32:52",0.1,-0.1,0.2,0.2,1.03,18,1
"171","P1380",23,"16:32:55",4.2,-0.2,0.4,4.4,1.03,18,1
"172","P1380",24,"16:33:06",4.4,-0.4,0,4,1.03,18,2
"173","P1674",12,"16:33:05",0.2,-0.2,0.4,0.4,1.03,18,1
"174","P1380",25,"16:33:18",4,-1,2,5,1.03,18,1
"175","P1674",13,"16:33:27",0.4,-0.4,0,0,1.03,18,2
"176","P1380",26,"16:33:31",5,-0.2,0.4,5.2,1.03,18,1
"177","P1380",27,"16:33:42",5.2,-0.2,0,5,1.03,18,1
"178","P0949",1,"16:35:28",3,-0.1,0,2.9,1.03,18,1
"179","P0949",2,"16:35:40",2.9,-0.2,0,2.7,1.03,18,2
"180","P0915",1,"16:36:17",3,-0.4,0,2.6,0.53,24,2
"181","P0949",3,"16:36:10",2.7,-0.6,1.2,3.3,1.03,18,6
"182","P0915",2,"16:36:33",2.6,-0.4,0.6,2.8,0.53,24,2
"183","P0949",4,"16:36:27",3.3,-0.1,0,3.2,1.03,18,1
"184","P0949",5,"16:36:40",3.2,-0.2,0,3,1.03,18,2
"185","P0915",3,"16:36:58",2.8,-0.1,0,2.7,2.03,12,1
"186","P0949",6,"16:36:53",3,-0.4,0.8,3.4,1.03,18,2
"187","P0915",4,"16:37:14",2.7,-0.4,0,2.3,0.53,24,2
