"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.1014","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",3,6.3
"F.1217","Control","Sheffield Utd vs Fulham","90 Minutes","Draw","Draw",1,3.25
"F.1217","Control","West Brom vs Burnley","90 Minutes","Draw","Draw",1,3.3
"F.1217","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0726","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.5,1.05
"F.0579","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1.5,2.5
"F.0513","Control","Everton vs Liverpool","Correct Score","Away","1--2",0.5,4
"F.0594","Treatment","Leeds vs Wolves","Correct Score","Home","2--1",0.2,1.9
"F.0594","Treatment","Tottenham vs West Ham","Correct Score","Home","2--0",0.2,1.5
"F.0594","Treatment","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",0.2,0.54
"F.0594","Treatment","Man City vs Arsenal","Correct Score","Away","0--2",0.2,8.2
"F.0594","Treatment","West Brom vs Burnley","Correct Score","Home","2--1",0.2,1.9
"F.0594","Treatment","Sheffield Utd vs Fulham","90 Minutes","Draw","Draw",0.2,0.65
"F.0594","Treatment","Newcastle vs Man Utd","First Goalscorer","Away","Edinson Cavani",0.2,0.9
"F.0594","Treatment","Newcastle vs Man Utd","Correct Score","Away","1--3",0.2,2.4
"F.0594","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.2,0.33
"F.0594","Treatment","Leicester vs Aston Villa","First Goalscorer","Away","Trezeguet",0.2,2.6
"F.0594","Treatment","Leicester vs Aston Villa","First Goalscorer","Home","Youri Tielemans",0.2,2.2
"F.0594","Treatment","Leicester vs Aston Villa","Correct Score","Draw","1--1",0.2,1.3
"F.0594","Treatment","Chelsea vs Southampton","First Goalscorer","Away","Danny Ings",0.2,1.1
"F.0594","Treatment","Chelsea vs Southampton","Correct Score","Away","0--2",0.2,6.8
"F.0594","Treatment","Everton vs Liverpool","Correct Score","Home","3--1",0.2,5.2
"F.0757","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.1278","Control","Everton vs Liverpool","Correct Score","Draw","1--1",1,7
"F.1278","Control","Newcastle vs Man Utd","Correct Score","Away","1--2",1,8
"F.1059","Control","Man City vs Arsenal","90 Minutes","Draw","Draw",1,5
"F.1059","Control","Man City vs Arsenal","Correct Score","Draw","2--2",1,15
"F.1059","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0411","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0268","Control","Newcastle vs Man Utd","90 Minutes","Draw","Draw",0.5,2
"F.1306","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0538","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0538","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
