Duration (in seconds),Q60_Page Submit,control1,Q80_Page Submit,control2,Q82_Page Submit,control3,Q84_Page Submit,control4,Q86_Page Submit,control5,Q88_Page Submit,control6,Q90_Page Submit,control7,Q92_Page Submit,control8,Q94_Page Submit,control9,Q58_Page Submit,warning1,Q64_Page Submit,warning2,Q66_Page Submit,warning3,Q68_Page Submit,warning4,Q70_Page Submit,warning5,Q72_Page Submit,warning6,Q74_Page Submit,warning7,Q76_Page Submit,warning8,Q78_Page Submit,warning9,pgsi1,pgsi2,pgsi3,pgsi4,pgsi5,pgsi6,pgsi7,pgsi8,pgsi9,gender,gendertext,age,freq,fan,comments,PROLIFIC_PID,ordercontrol,orderwarning
206,4.773,1,21.899,1,3.501,0,4.135,0,73.636,0,4.566,0,6.243,0,6.138,1,4.027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,31,10,3,NA,caa93923de9c9c72e826fa2d27a6754ea0a31a2f1ada2b7d109011b54ecdef21,control2|control5|control6|control1|control3|control7|control4|control8|control9,NA
217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.239,1,5.374,0,4.069,0,10.972,0,5.258,0,3.501,0,5.762,0,6.501,1,31.9,0,0,0,0,0,0,0,0,0,0,1,NA,25,200,3,I work in a bookies and I've seen people bet ridiculous amounts which I've never understood personally. I will only bet really on the lottery within the bookies or a quick £1 bet on a silly special they have on the footy.,1ad921dfd9f6ca0d0350488ad5b1dad262b1dc99e9f274e10b227528aaaa4a44,NA,warning9|warning1|warning6|warning2|warning4|warning5|warning3|warning7|warning8
210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.298,1,6.141,1,5.401,0,12.901,1,12.028,1,10.267,0,31.927,1,11.879,1,12.87,1,0,0,0,0,0,0,0,0,0,1,NA,40,20,3,NA,cd6cfee6b68b25c8d88f48ac245484e168a99ff5a21e97e7a771e275dd571634,NA,warning7|warning4|warning1|warning5|warning2|warning8|warning6|warning3|warning9
170,3.718,0,4.602,0,21.884,0,18.179,1,15.56,0,4.476,1,9.898,0,5.67,0,4.485,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,2,NA,22,20,3,NA,ac0205cb1931231f2dc60c156e258d91d6a763923c890b621df5885f428f1521,control7|control5|control4|control3|control2|control6|control1|control9|control8,NA
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.801,0,7.88,0,13.97,0,6.401,0,7.079,0,6.091,0,7.372,0,31.507,0,7.208,0,0,0,0,0,0,0,0,0,0,1,NA,64,50,3,NA,9605b4689921c0b97d6663fccea89846ceb383810e902e15f2da0c87b6a21145,NA,warning8|warning3|warning9|warning2|warning4|warning7|warning6|warning5|warning1
235,4.161,1,5.23,0,8.649,0,7.375,1,9.218,0,21.118,0,8.945,1,7.766,0,6.139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,36,1,1,N/A,e2713ea6f5b67192c3a0317923082e0e7f8702baf670c6596f8f8fd541658316,control6|control2|control9|control7|control1|control3|control8|control5|control4,NA
155,12.6,0,1.93,0,2.42,0,7.471,1,6.992,0,2.376,0,4.522,0,20.026,1,30.816,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,24,10,3,NA,18797a5425c1f182587636881f340a88227903c0cd815647ef9bcc8473dacc97,control9|control5|control1|control6|control7|control3|control2|control4|control8,NA
163,25.597,1,5.902,0,5.129,0,13.703,0,6.237,0,7.057,0,19.482,0,11.995,0,6.529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,0,0,0,2,NA,18,30,3,NA,67842d2bb97a021f0d3ca0ff003b46b2f1e7a8b78f1907790613ccbd3af6d9c7,control1|control7|control2|control6|control5|control3|control4|control9|control8,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.508,1,7.257,0,2.558,0,2.976,0,33.028,1,3.05,0,13.492,1,3.846,0,3.647,0,2,0,2,2,3,3,2,3,3,2,NA,30,365,3,NA,f323ea36c13a43589226ef0d6c3f014169ba6e6f4c243ced25cf5a6a5bf8f476,NA,warning5|warning7|warning1|warning8|warning3|warning2|warning6|warning4|warning9
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.416,0,5.953,0,6.801,0,7.358,0,7.493,0,21.902,0,8.447,0,5.986,0,7.389,0,1,0,0,0,1,0,0,0,0,2,NA,59,52,3,No,ce7d399bcca5f5433b234f2a1ca7781990344af6e0924a3245fef3b523a604e2,NA,warning6|warning5|warning7|warning1|warning3|warning4|warning8|warning2|warning9
